Category,Level1,Level2,Level3,Level4,Level5,COND1,COND2,COND3,COND4
GU:1 Subdoligranulum sp. 4_3_54A2FAA,Firmicutes,Clostridiales,Ruminococcaceae,Subdoligranulum,GU:1,43,146,122,50
GU:10 Bilophila wadsworthia,Proteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,GU:10,42,61,286,177
GU:100 Roseburia sp. CAG:100,Firmicutes,Clostridiales,Lachnospiraceae,Roseburia,GU:100,109,828,78,319
GU:1000 Clostridium sp. CAG:1000,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:1000,0,0,2,2
GU:1001 Prevotella,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:1001,0,6,0,0
GU:1008 Parvimonas,Firmicutes,Clostridiales,Peptoniphilaceae,Parvimonas,GU:1008,0,1,0,0
GU:101 NA,,,,,GU:101,15,16,177,47
GU:1013 Clostridium sp. CAG:1013,Firmicutes,Clostridiales,Clostridiaceae,Clostridium,GU:1013,0,0,0,0
GU:102 Firmicutes bacterium CAG:102,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:102,54,104,112,90
GU:1024 Clostridium sp. CAG:1024,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:1024,0,0,0,0
GU:103 Firmicutes bacterium CAG:103,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:103,91,214,173,99
GU:1031 Prevotella sp. CAG:1031,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:1031,0,0,0,0
GU:104 Ruminococcus lactaris,Firmicutes,Clostridiales,Ruminococcaceae,Ruminococcus,GU:104,73,648,758,436
GU:1049 NA,,,,,GU:1049,0,0,0,0
GU:105 Dorea sp. CAG:105,Firmicutes,Clostridiales,Lachnospiraceae,Dorea,GU:105,39,60,43,40
GU:1050 unclassified Firmicutes,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:1050,1,9,99,2
GU:1058 Prevotella sp. CAG:1058,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:1058,0,0,0,0
GU:1059 Bifidobacterium breve,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,GU:1059,1,1,0,0
GU:106 Faecalibacterium 3,Firmicutes,Clostridiales,Ruminococcaceae,Faecalibacterium,GU:106,762,854,1033,973
GU:1060 Bacteroides sp. CAG:1060,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:1060,0,0,0,0
GU:1061 Porphyromonas somerae,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Porphyromonas,GU:1061,0,0,0,0
GU:107 Adlercreutzia equolifaciens,Actinobacteria,Eggerthellales,Eggerthellaceae,Adlercreutzia,GU:107,7,25,7,6
GU:1075 NA,,,,,GU:1075,0,0,0,0
GU:1076 Bacteroides sp. CAG:1076,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:1076,0,3,1,2
GU:108 Ruminococcus bromii,Firmicutes,Clostridiales,Ruminococcaceae,Ruminococcus,GU:108,2054,3970,1988,4423
GU:1088 Methanoculleus sp. CAG:1088 & Candidatus Methanomethylophilus alvus,Euryarchaeota,unclassified Euryarchaeota,Methanomicrobiaceae,Methanoculleus,GU:1088,0,0,0,0
GU:109 Bacteroides eggerthii,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:109,2415,1450,510,668
GU:1092 Prevotella sp. CAG:1092,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:1092,0,1,0,0
GU:11 Oscillibacter sp. KLE 1728 / KLE 1745 / VE202-24,Firmicutes,Clostridiales,Oscillospiraceae,Oscillibacter,GU:11,256,295,138,304
GU:110 Firmicutes bacterium CAG:110,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:110,248,486,2844,253
GU:1103 Dialister,Firmicutes,Selenomonadales,Veillonellaceae,Dialister,GU:1103,6,6,139,1355
GU:1107 Eubacterium desmolans,Firmicutes,Clostridiales,Eubacteriaceae,Eubacterium,GU:1107,2,2,1,25
GU:111 NA,,,,,GU:111,30,44,0,2
GU:1117 Prevotella,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:1117,112,1,0,1
GU:112 Veillonella parvula,Firmicutes,Selenomonadales,Veillonellaceae,Veillonella,GU:112,22,26,88,75
GU:1121 NA,,,,,GU:1121,0,0,0,0
GU:1124 Prevotella sp. CAG:1124,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:1124,0,1,4,0
GU:113 Parabacteroides goldsteinii,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Parabacteroides,GU:113,24,120,43,112
GU:1137 unclassified Firmicutes,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:1137,0,0,1,0
GU:1138 Faecalibacterium 7,Firmicutes,Clostridiales,Ruminococcaceae,Faecalibacterium,GU:1138,0,0,0,0
GU:1139 NA,,,,,GU:1139,7,5,16,1
GU:114 Firmicutes bacterium CAG:114,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:114,23,54,58,52
GU:115 Eubacterium sp. CAG:115,Firmicutes,Clostridiales,Eubacteriaceae,Eubacterium,GU:115,170,229,152,63
GU:1159 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:1159,0,1,0,33
GU:116 Paraprevotella clara,Bacteroidetes,Bacteroidales,Prevotellaceae,Paraprevotella,GU:116,450,496,1309,326
GU:1168 Eubacterium,Firmicutes,Clostridiales,Eubacteriaceae,Eubacterium,GU:1168,5,2,59,11
GU:117 uncultured Faecalibacterium sp.,Firmicutes,Clostridiales,Ruminococcaceae,Faecalibacterium,GU:117,258,38,22,17
GU:118 Coprobacter sp. 177,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Coprobacter,GU:118,25,17,492,106
GU:1185 Prevotella sp. CAG:1185,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:1185,3,29,5,3
GU:1189 Clostridiales,Firmicutes,Clostridiales,,,GU:1189,1,1,0,0
GU:119 Bifidobacterium adolescentis,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,GU:119,387,864,193,948
GU:1193 Clostridium sp. CAG:1193,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:1193,0,32,7,0
GU:1196 Firmicutes,Firmicutes,,,,GU:1196,11,0,0,0
GU:12 Eubacterium hallii,Firmicutes,Clostridiales,Eubacteriaceae,Eubacterium,GU:12,1182,541,657,824
GU:120 Bacteroides stercoris,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:120,2839,1042,1546,1522
GU:121 Ruminococcaceae bacterium LM158,Firmicutes,Clostridiales,Ruminococcaceae,unclassified Ruminococcaceae,GU:121,384,740,915,463
GU:1218 NA,,,,,GU:1218,0,0,0,0
GU:1219 Clostridium sp. CAG:1219,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:1219,0,0,0,0
GU:122 Clostridium sp. CAG:122,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:122,87,105,66,14
GU:1228 Firmicutes,Firmicutes,,,,GU:1228,0,0,0,0
GU:123 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:123,8,37,4,37
GU:124 Firmicutes bacterium CAG:124,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:124,21,611,1994,72
GU:125 Faecalibacterium 2,Firmicutes,Clostridiales,Ruminococcaceae,Faecalibacterium,GU:125,1199,1444,1565,923
GU:126 Ruminococcus gnavus,Firmicutes,Clostridiales,Lachnospiraceae,Blautia,GU:126,92,41,2,127
GU:127 Clostridium sp. CAG:127,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:127,1552,2126,786,1715
GU:1273 Clostridium clostridioforme,Firmicutes,Clostridiales,Lachnospiraceae,Lachnoclostridium,GU:1273,1,0,1,1
GU:128 Faecalibacterium 4,Firmicutes,Clostridiales,Ruminococcaceae,Faecalibacterium,GU:128,1381,1418,3180,623
GU:1289 NA,,,,,GU:1289,1,73,1,0
GU:129 Firmicutes bacterium CAG:129 & uncultured Collinsella sp.,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,GU:129,166,295,176,47
GU:1295 Bacteroides,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:1295,1,0,0,0
GU:13 Roseburia intestinalis,Firmicutes,Clostridiales,Lachnospiraceae,Roseburia,GU:13,860,520,1032,802
GU:130 Bacteroides nordii,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:130,5,14,18,84
GU:131 Coprococcus sp. CAG:131 & Coprococcus sp. ART55/1,Firmicutes,Clostridiales,Lachnospiraceae,Coprococcus,GU:131,350,3846,1996,1343
GU:132 Clostridium clostridioforme,Firmicutes,Clostridiales,Lachnospiraceae,Lachnoclostridium,GU:132,10,23,1,32
GU:1320 Prevotella sp. CAG:1320,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:1320,0,0,0,0
GU:1329 Intestinibacter bartlettii,Firmicutes,Clostridiales,Peptostreptococcaceae,Intestinibacter,GU:1329,26,71,83,108
GU:133 Faecalibacterium,Firmicutes,Clostridiales,Ruminococcaceae,Faecalibacterium,GU:133,116,31,798,34
GU:134 Clostridium symbiosum,Firmicutes,Clostridiales,Lachnospiraceae,Lachnoclostridium,GU:134,4,9,4,12
GU:1348 Prevotella,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:1348,0,153,2,1
GU:135 Sutterella wadsworthensis 1,Proteobacteria,Burkholderiales,Sutterellaceae,Sutterella,GU:135,182,375,204,510
GU:1353 Collinsella stercoris,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,GU:1353,1,1,23,1
GU:136 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:136,30,51,16,10
GU:137 Firmicutes bacterium CAG:137,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:137,43,40,209,81
GU:138 Clostridium sp. CAG:138,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:138,704,867,4817,29
GU:1382 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:1382,42,2,0,0
GU:1383 unclassified Firmicutes,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:1383,0,0,0,0
GU:139 Parasutterella excrementihominis 2,Proteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,GU:139,26,5,72,3
GU:14 Odoribacter splanchnicus,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Odoribacter,GU:14,1076,1037,1812,1004
